title,state,id,startDate,endDate,issn,number_of_articles,troveUrl
"The Central Queensland Herald (Rockhampton, Qld. : 1930 - 1956)",Queensland,187,1930-01-02,1956-11-29,18389783,27205,https://nla.gov.au/nla.news-title187
Western Tiers (Tas. : 1980 - 2004),Tasmania,1132,1980-04-01,2004-01-20,22054316,26178,https://nla.gov.au/nla.news-title1132
RAAF News (National : 1960 - 1997),National,1671,1941-03-22,1997-09-01,NDP00172,22327,https://nla.gov.au/nla.news-title1671
"Woroni (Canberra, ACT : 1950 - 2007)",ACT,666,1950-06-14,2007-11-01,13262793,21297,https://nla.gov.au/nla.news-title666
"Hamersley News (Perth, WA : 1969 - 1987)",Western Australia,1175,1969-03-20,1987-07-01,2205927X,18762,https://nla.gov.au/nla.news-title1175
Northern Suburbs Weekly (SA : 1952 - 1961),South Australia,1341,1952-10-02,1961-12-20,22090711,13029,https://nla.gov.au/nla.news-title1341
"The Farmer and Settler (Sydney, NSW : 1906 - 1955)",New South Wales,451,1906-02-07,1955-11-25,22015140,12189,https://nla.gov.au/nla.news-title451
Rutherglen Sun and Chiltern Valley Advertiser (Vic. : 1886 - 1957),Victoria,604,1886-07-02,1957-07-30,22018328,10154,https://nla.gov.au/nla.news-title604
"The Seasider (Christies Beach, SA : 1956 - 1963)",South Australia,1875,1956-08-01,1963-09-19,NDP00374,9901,https://nla.gov.au/nla.news-title1875
"The Coromandel Times (Blackwood, SA : 1970 - 1976)",South Australia,1681,1970-08-20,1976-03-18,NDP00181,9900,https://nla.gov.au/nla.news-title1681
Sawtell Guardian (NSW : 1970 - 1976),New South Wales,1346,1970-05-14,1976-03-26,22087508,9452,https://nla.gov.au/nla.news-title1346
"Mirror (Perth, WA : 1921 - 1956)",Western Australia,253,1921-04-17,1956-08-11,18396305,9425,https://nla.gov.au/nla.news-title253
Kojonup Courier (WA : 1951 - 1958),Western Australia,1631,1951-04-19,1958-05-15,NDP00132,8466,https://nla.gov.au/nla.news-title1631
"Filmnews (Sydney, NSW : 1975 - 1995)",New South Wales,1104,1975-02-01,1995-07-01,22054294,7737,https://nla.gov.au/nla.news-title1104
Yass Tribune-Courier (NSW : 1929 - 1954),New South Wales,1366,1929-04-04,1955-12-29,22087273,7539,https://nla.gov.au/nla.news-title1366
"The St George Call (Kogarah, NSW : 1904 - 1957)",New South Wales,854,1904-01-09,1957-04-25,2203966X,7223,https://nla.gov.au/nla.news-title854
Kyabram Free Press and Rodney and Deakin Shire Advocate (Vic. : 1894 - 1955),Victoria,752,1894-12-21,1955-12-22,22033238,5970,https://nla.gov.au/nla.news-title752
"The Chaser (Glebe, NSW : 1999 - 2005)",New South Wales,905,1999-05-09,2005-02-04,22047735,5970,https://nla.gov.au/nla.news-title905
The Southern Cross News (WA : 1935 - 1957),Western Australia,1661,1935-11-08,1957-06-27,NDP00163,5843,https://nla.gov.au/nla.news-title1661
The Norseman-Esperance News (WA : 1936 - 1954),Western Australia,1647,1936-05-16,1957-06-27,NDP00148,5707,https://nla.gov.au/nla.news-title1647
The Beaudesert Times (Qld. : 1908 - 1954),Queensland,1064,1908-10-10,1955-12-30,22051384,5534,https://nla.gov.au/nla.news-title1064
The Muswellbrook Chronicle (NSW : 1898 - 1955),New South Wales,469,1898-01-01,1955-12-30,22015329,5528,https://nla.gov.au/nla.news-title469
Jerilderie Herald and Urana Advertiser (NSW : 1898 - 1958),New South Wales,645,1898-01-07,1958-12-18,22023674,5483,https://nla.gov.au/nla.news-title645
"Daily Mirror (Sydney, NSW : 1941 - 1955)",New South Wales,1852,1941-05-12,1955-01-06,NDP00352,5390,https://nla.gov.au/nla.news-title1852
"The Australian Jewish Post (St. Kilda, Vic. : 1966 - 1968)",Victoria,1777,1966-05-13,1968-08-02,NDP00277,5065,https://nla.gov.au/nla.news-title1777
Good Neighbour (ACT : 1950 - 1969),ACT,871,1950-08-01,1969-10-01,22037322,4968,https://nla.gov.au/nla.news-title871
"Il Canguro = The Kangaroo (Perth, WA : 1955 - 1957)",Western Australia,1378,1955-05-06,1957-04-08,22090754,4786,https://nla.gov.au/nla.news-title1378
The Lilydale Express (Vic. : 1886 - 1897; 1914 - 1956),Victoria,250,1886-06-30,1956-01-13,10362894,4778,https://nla.gov.au/nla.news-title250
"Ovens and Murray Advertiser (Beechworth, Vic. : 1855; 1857 -  1890; 1892 - 1955)",Victoria,326,1855-01-13,1955-12-24,22001352,4570,https://nla.gov.au/nla.news-title326
"Japanese Perth Times (Subiaco, WA : 1989 - 1996)",Western Australia,1386,1989-11-01,1996-09-01,22093060,4498,https://nla.gov.au/nla.news-title1386
"Balonne Beacon (St. George, Qld. : 1909 - 1954)",Queensland,1066,1909-01-02,1955-12-29,22051295,4280,https://nla.gov.au/nla.news-title1066
Townsville Daily Bulletin (Qld. : 1907 - 1954),Queensland,97,1907-07-01,1955-01-31,08159726,3828,https://nla.gov.au/nla.news-title97
"Narracan Shire Advocate (Moe, Vic.: 1944 - 1955)",Victoria,1821,1944-01-14,1955-11-24,NDP00322,3478,https://nla.gov.au/nla.news-title1821
"Musu Pastoge = Our Haven (Sydney, NSW : 1950 - 1954)",New South Wales,1594,1950-02-22,1956-12-19,NDP00094,3292,https://nla.gov.au/nla.news-title1594
"Meie Kodu - Our Home (Sydney, NSW : 1949 - 1956)",New South Wales,280,1949-08-19,1956-12-20,18398472,3181,https://nla.gov.au/nla.news-title280
"Vil'na Dumka = Free Thought (Sydney, NSW : 1949 - 1954)",New South Wales,1593,1949-07-10,1956-11-25,NDP00093,3179,https://nla.gov.au/nla.news-title1593
Gilgandra Weekly (NSW : 1942 - 1955),New South Wales,411,1942-10-15,1955-12-21,22013164,3076,https://nla.gov.au/nla.news-title411
"The Pennant (Penola, SA : 1946 - 1955)",South Australia,1095,1946-07-25,1955-12-21,22053042,3009,https://nla.gov.au/nla.news-title1095
"A Voz de Timor (Dili, East Timor : 1970 - 1975)",International,1498,1970-06-11,1975-08-09,2652080X,2830,https://nla.gov.au/nla.news-title1498
"The North Western Courier (Narrabri, NSW : 1913 - 1955)",New South Wales,652,1913-01-07,1955-05-26,22023712,2808,https://nla.gov.au/nla.news-title652
Army Magazine (National : 1989 - 2002),National,1803,1989-08-01,2002-08-01,NDP00302,2794,https://nla.gov.au/nla.news-title1803
"Worker (Brisbane, Qld. : 1890 - 1955)",Queensland,191,1890-03-01,1955-12-26,00438065,2716,https://nla.gov.au/nla.news-title191
"Sunday Times (Perth, WA : 1902 - 1954)",Western Australia,93,1902-03-30,1955-02-27,14429527,2685,https://nla.gov.au/nla.news-title93
Myrtleford Times and Ovens Valley Advertiser (Vic. : 1930 - 1955),Victoria,1828,1930-04-30,1955-12-21,NDP00328,2605,https://nla.gov.au/nla.news-title1828
The Bega District News (NSW : 1923 - 1955),New South Wales,1890,1923-10-01,1955-04-29,NDP00389,2447,https://nla.gov.au/nla.news-title1890
Australijos Lietuvis = The Australian Lithuanian (SA : 1948 - 1956),South Australia,1876,1948-09-12,1956-05-14,NDP00375,2197,https://nla.gov.au/nla.news-title1876
The Northam Advertiser (WA : 1895 - 1955),Western Australia,1083,1895-06-01,1955-05-27,22052151,2193,https://nla.gov.au/nla.news-title1083
"The World's News (Sydney, NSW : 1901 - 1955)",New South Wales,466,1901-12-21,1955-12-31,22014780,2125,https://nla.gov.au/nla.news-title466
"The Harvey-Waroona Mail (Collie, WA : 1931 - 1956)",Western Australia,1629,1931-05-01,1956-03-23,NDP00130,1996,https://nla.gov.au/nla.news-title1629
"The Prospecter (Fitzroy, SA : 1978 - 1984)",South Australia,1683,1978-12-01,1984-12-01,NDP00183,1919,https://nla.gov.au/nla.news-title1683
"Now (Potts Point, NSW : 1968 - 1975)",New South Wales,1726,1968-04-03,1975-07-01,NDP00228,1917,https://nla.gov.au/nla.news-title1726
"Jamboree Daily (Frankston, Vic. : 1934; 1949; 1955; 1964; 1976; 1992; 2007)",Victoria,1189,1934-12-28,2007-01-13,22062688,1883,https://nla.gov.au/nla.news-title1189
Harvey Murray Times (WA : 1931 - 1955),Western Australia,1419,1931-07-24,1955-04-29,22095241,1835,https://nla.gov.au/nla.news-title1419
Raymond Terrace Examiner and Lower Hunter and Port Stephens Advertiser (NSW : 1912 - 1955),New South Wales,654,1912-06-14,1955-12-22,22023739,1773,https://nla.gov.au/nla.news-title654
"Tribune (SA edition, published in Sydney : 1951 - 1964)",South Australia,1486,1959-03-18,1963-06-12,22099220,1744,https://nla.gov.au/nla.news-title1486
"North-Eastern Courier (Perth, WA : 1923 - 1955)",Western Australia,1568,1923-07-20,1955-09-29,NDP00068,1735,https://nla.gov.au/nla.news-title1568
The Narrogin Observer (WA : 1918 - 1955),Western Australia,1082,1919-01-04,1955-04-28,22051821,1626,https://nla.gov.au/nla.news-title1082
Upper Murray and Mitta Herald (Vic. : 1885 - 1955),Victoria,616,1885-08-15,1955-12-22,22018573,1599,https://nla.gov.au/nla.news-title616
"Eco Italiano (Perth, WA : 1958 - 1959)",Western Australia,1387,1958-06-04,1959-02-11,22093168,1579,https://nla.gov.au/nla.news-title1387
"La Rondine (Perth, WA : 1970 - 1974; 1983 - 1984)",Western Australia,1388,1970-03-01,1984-12-01,22093184,1383,https://nla.gov.au/nla.news-title1388
"Healesville Guardian (Lilydale, Vic. : 1942 - 1954)",Victoria,144,1942-10-24,1956-04-27,18380301,1115,https://nla.gov.au/nla.news-title144
Woodend Star and Macedon Advocate (Vic. : 1942 - 1955),Victoria,1839,1942-04-11,1955-12-23,NDP00339,1011,https://nla.gov.au/nla.news-title1839
